item_id,app_name,genres,price,release_date,developer
520680,Lost Cities,"['Casual', 'Indie', 'Strategy']",9.99,2018-01-01,BlueLine Games
690410,Twisted Enhanced Edition,['Action'],9.99,2018-01-01,Games by Brundle
766850,Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']",0.99,2018-01-01,ETGgames
413120,Tactics Forever,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",0,2018-01-01,ProjectorGames
773120,Christmas Santa Troubles,"['Adventure', 'Casual', 'Indie']",2.99,2017-12-30,Unknown Indie Devs
680970,Kingdom Watcher,"['Action', 'Free to Play', 'Strategy']",2.99,2018-05-28,Subdream Studios 
754360,Underdone - Soundtrack,"['Action', 'Adventure', 'RPG']",8.99,2018-01-01,The Commander
716110,Bitcoin Clicker,"['Adventure', 'Casual', 'Indie', 'RPG']",0.99,2018-01-01,"lalalaZero,Urbanoff"
1640,Disciples II: Gallean's Return,['Strategy'],6.99,2006-07-06,Strategy First
1630,Disciples II: Rise of the Elves,['Strategy'],6.99,2006-07-06,Strategy First
2400,The Ship: Murder Party,"['Action', 'Indie', 'RPG']",9.99,2006-07-11,Outerlight Ltd.
662570,United Tactics,['Strategy'],0,,Zachary M Thomas
381620,Life of Rome,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",0,2017-01-01,Breakout Studio
714020,Idle Adventure,"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Free,,"zha7,Phaedruns,Yingke Wu"
541930,Panoptic,"['Early Access', 'Indie', 'Action']",16.99,2020-10-08,Team Panoptes 
759920,Souland,"['Action', 'Indie', 'Strategy', 'Early Access']",7.99,2017-12-29,Ultraint
659780,Darkness and a Crowd,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",4.99,2018-03-30,Seth Albertus
603280,TAROTICA VOO DOO,"['Action', 'Adventure', 'Indie', 'RPG']",10.99,2017-12-29,TPM.CO SOFT WORKS
753110,Chronicles of Vinland,"['Casual', 'Strategy', 'Early Access']",9.99,2017-12-29,Wonderbox Games
753100,Orbitality,"['Action', 'Indie']",9.99,2017-12-29,Wonderbox Games
769350,Medicalholodeck Personal Version,['Education'],29.99,1970-01-01,
764280,Atomic Adam: Episode 1,"['Action', 'Adventure', 'Casual']",1.99,2017-12-30,Mad Unicorn Games
374970,Golf Masters,"['Simulation', 'Sports', 'Casual', 'Indie']",9.99,2020-07-13,Ghost Machine 
758550,Mirt. Tales of the Cold Land. Chapter 2,"['Adventure', 'Casual', 'Free to Play', 'Indie']",0.99,2017-12-29,Emanon Studios
3800,Advent Rising,['Action'],9.99,2005-08-09,GlyphX Games
1520,DEFCON,"['Indie', 'Strategy']",9.99,2006-09-29,Introversion Software
2420,The Ship: Single Player,"['Action', 'Indie', 'RPG']",9.99,2006-11-20,Outerlight Ltd.
4000,Garry's Mod,"['Indie', 'Simulation']",9.99,2006-11-29,Facepunch Studios
4230,RACE - The WTCC Game,['Racing'],39.99,2006-11-24,SimBin
4900,Zen of Sudoku,"['Casual', 'Indie']",Free,2006-12-14,Unknown Worlds Entertainment
2520,Gumboy - Crazy Adventures™,"['Casual', 'Indie']",4.99,2006-12-19,"CINEMAX, s.r.o."
6200,Ghost Master®,['Strategy'],4.99,2003-08-23,Sick Puppies
6210,Vegas: Make It Big™,['Strategy'],4.99,2006-12-21,Deepred
6300,Dreamfall: The Longest Journey,"['Adventure', 'RPG']",19.99,2006-04-17,Funcom
2990,FlatOut 2™,['Racing'],9.99,2006-08-01,Bugbear Entertainment
6220,FlatOut,['Racing'],7.49,2005-07-12,Bugbear Entertainment
6510,Lost Planet™: Extreme Condition,"['Action', 'Adventure']",14.99,2007-06-26,"CAPCOM Co., Ltd."
3980,CivCity: Rome,['Strategy'],9.99,2006-07-24,"FireFly Studios,Firaxis Games"
1700,Arx Fatalis,['RPG'],4.99,2002-11-12,Arkane Studios
6310,The Longest Journey,"['Action', 'Adventure', 'RPG']",9.99,2000-11-17,Funcom
3990,Civilization IV®: Warlords,['Strategy'],4.99,2006-07-24,Firaxis Games
7610,Railroad Tycoon 3,['Strategy'],9.99,2003-10-23,PopTop
7600,Sid Meier's Railroads!,['Strategy'],9.99,2006-10-16,"Firaxis Games,Feral Interactive (Mac)"
7620,Railroad Tycoon II Platinum,['Strategy'],4.99,1998-10-31,PopTop
2540,RIP - Trilogy™,"['Casual', 'Indie']",4.99,2007-06-01,Elephant Games
7650,X-COM: Terror From the Deep,['Strategy'],4.99,1995-04-01,"MicroProse Software, Inc"
8000,Tomb Raider: Anniversary,"['Action', 'Adventure']",8.99,2007-06-05,"Crystal Dynamics,Feral Interactive (Mac)"
6550,Devil May Cry® 3 Special Edition,['Action'],19.99,2006-05-23,"CAPCOM Co., Ltd."
8200,Sam & Max 101: Culture Shock,"['Action', 'Adventure']",19.99,2006-10-17,Telltale Games
2290,Final DOOM,['Action'],4.99,1996-06-17,id Software
2570,Vigil: Blood Bitterness™,"['Indie', 'RPG']",0,2007-06-29,Freegamer
8210,Sam & Max 102: Situation: Comedy,"['Action', 'Adventure']",19.99,2006-12-20,Telltale Games
2280,Ultimate Doom,['Action'],4.99,1995-04-30,id Software
9160,Master Levels for Doom II,['Action'],14.99,1995-06-01,id Software
2300,DOOM II,['Action'],4.99,1994-05-05,id Software
2270,Wolfenstein 3D,['Action'],4.99,1994-08-03,id Software
9010,Return to Castle Wolfenstein,['Action'],4.99,2001-11-20,Gray Matter Studios
9040,QUAKE Mission Pack 1: Scourge of Armagon,['Action'],2.99,1997-02-28,Ritual Entertainment
9000,Spear of Destiny,['Action'],2.99,1993-10-10,id Software
3810,BloodRayne,['Action'],9.99,2003-09-09,Terminal Reality
9030,QUAKE Mission Pack 2: Dissolution of Eternity,['Action'],2.99,2007-08-03,Rogue Entertainment
2310,QUAKE,['Action'],4.99,2007-05-31,id Software
3230,Genesis Rising,['Strategy'],4.99,2007-03-20,Metamorf
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",['Strategy'],12.99,2006-01-01,Relic Entertainment
7670,BioShock™,"['Action', 'RPG']",19.99,2007-08-21,"2K Boston,2K Australia"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",['Strategy'],12.99,2006-01-01,Relic Entertainment
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",['Strategy'],12.99,2006-10-09,Relic Entertainment
4760,Rome: Total War™ - Collection,['Strategy'],9.99,2004-09-22,The Creative Assembly
4770,Rome: Total War™ - Alexander,['Strategy'],4.99,2006-06-26,The Creative Assembly
50970,Mystery Case Files: Madame Fate®,['Casual'],6.99,2007-12-14,Big Fish Games
12170,Grand Theft Auto,['Action'],0,1998-06-30,Rockstar North
12180,Grand Theft Auto 2,['Action'],0,1999-10-25,Rockstar North
12130,Manhunt,['Action'],9.99,2004-04-20,Rockstar North
12160,Midnight Club 2,['Racing'],9.99,2003-07-01,Rockstar San Diego
12150,Max Payne 2: The Fall of Max Payne,['Action'],9.99,2003-10-14,Remedy Entertainment
7000,Tomb Raider: Legend,"['Action', 'Adventure']",6.99,2006-04-07,Crystal Dynamics
12140,Max Payne,['Action'],9.99,2001-07-25,Remedy Entertainment
17480,Command & Conquer: Red Alert 3,['Strategy'],19.99,2008-10-28,EA Los Angeles
12500,PuzzleQuest: Challenge of the Warlords,['Casual'],9.99,2007-10-10,Infinite Interactive
12310,Culpa Innata,"['RPG', 'Casual', 'Adventure']",9.99,2007-10-23,Momentum Digital Media Technologies
12510,Prison Tycoon 3™: Lockdown,['Strategy'],9.99,2007-08-01,"Gamebryo,Virtual Playground"
12530,Hunting Unlimited™ 2008,"['Action', 'Adventure', 'Strategy']",9.99,2007-09-01,SCS Software
12520,18 Wheels of Steel: American Long Haul,['Racing'],9.99,2007-12-03,SCS Software
8100,Conflict: Denied Ops,['Action'],5.99,2008-02-08,Pivotal Games
2780,ARMA: Combat Operations,['Action'],7.99,2007-05-08,Bohemia Interactive
9730,Tycoon City: New York,['Simulation'],9.99,2006-02-21,Deep Red Games Ltd. 
9710,Desperados 2: Cooper's Revenge,['Action'],9.99,2006-05-02,Spellbound
9800,Death to Spies,"['Action', 'Adventure']",4.99,2007-10-16,Haggard Games
9760,Act of War: High Treason,['Action'],2.99,2006-05-30,Eugen Systems
2700,RollerCoaster Tycoon® 3: Platinum,"['Simulation', 'Strategy']",19.99,2006-10-26,"Frontier,Aspyr (Mac)"
2710,Act of War: Direct Action,['Action'],2.99,2005-03-14,Eugen Systems
13200,Unreal 2: The Awakening,['Action'],14.99,2003-02-03,"Epic Games, Inc."
13250,Unreal Gold,['Action'],9.99,1998-04-30,"Epic Games, Inc."
13000,Ninja Reflex: Steamworks Edition,"['Casual', 'Indie']",4.99,2008-03-21,Sanzaru Games
13560,Tom Clancy's Splinter Cell®,['Action'],9.99,2003-02-18,Ubisoft
13520,Far Cry®,['Action'],9.99,2004-03-23,Crytek Studios
13240,Unreal Tournament: Game of the Year Edition,['Action'],9.99,2000-10-25,"Epic Games, Inc."
13540,Tom Clancy's Rainbow Six® Vegas,['Action'],9.99,2006-12-12,Ubisoft Montreal
15210,Silent Hunter® III,['Simulation'],9.99,2005-03-15,Ubisoft
16180,Virtual Villagers - The Secret City,"['Casual', 'Simulation']",9.99,2008-05-28,Last Day of Work
3520,Mystery P.I.™ - The Vegas Heist,['Casual'],4.99,2008-06-04,SpinTop Games
15970,Luxor,['Casual'],9.99,2008-06-10,MumboJumbo
15950,Reaxxion,['Casual'],9.99,2008-06-10,MumboJumbo
15960,Little Farm,['Casual'],9.99,2008-06-10,MumboJumbo
15900,7 Wonders II,['Casual'],9.99,2008-06-10,MumboJumbo
15910,Luxor Amun Rising,['Casual'],9.99,2005-12-08,MumboJumbo
15930,Luxor 3,['Casual'],9.99,2007-11-13,MumboJumbo
15160,Petz® Horsez® 2,['Simulation'],9.99,2007-11-13,Ubisoft
15920,Luxor 2,['Casual'],9.99,2005-12-08,MumboJumbo
15080,Rayman Raving Rabbids™,"['Action', 'Adventure']",9.99,2007-03-27,"Ubisoft Bulgaria,Ubisoft Montpellier"
15200,Silent Hunter®: Wolves of the Pacific,['Simulation'],9.99,2007-03-20,Ubisoft Romania
15320,IL-2 Sturmovik: 1946,['Simulation'],9.99,2006-12-15,1C: Maddox Games
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,['Simulation'],9.99,2008-03-24,Ubisoft Romania
8310,Bone: Out From Boneville,['Adventure'],9.99,2005-09-15,Telltale Games
12600,Midnight Outlaw: 6 Hours to SunUp,['Racing'],9.99,2005-07-02,"Merscom,Babylon"
8320,Bone: The Great Cow Race,['Adventure'],9.99,2006-04-12,Telltale Games
12590,Sprint Cars Road to Knoxville,['Racing'],9.99,2008-07-29,BigAnt Studios
12580,Dr. Daisy Pet Vet,['Casual'],9.99,2008-01-08,Zemnott
12560,Ride! Carnival Tycoon,['Simulation'],9.99,2007-07-02,Gabriel Entertainment
12570,Hot Dish,['Casual'],9.99,2008-01-12,Zemnott
12540,Mahjongg Investigations: Under Suspicion,['Casual'],9.99,2007-08-08,Zemnott
11050,Dracula Origin,['Adventure'],9.99,2008-05-20,Frogwares
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,['Sports'],0,2008-07-08,Eurocom
11040,Sherlock Holmes - Nemesis,"['Adventure', 'RPG']",9.99,2008-04-14,Frogwares
19500,Eternity's Child,"['Adventure', 'Indie']",4.99,2008-07-31,"Luc Bernard,SilverSphereStudios"
11260,Pacific Storm Allies,"['Simulation', 'Strategy']",7.99,2007-05-25,Lesta Studio
19200,Tank Universal,"['Action', 'Indie']",4.99,2008-08-21,Dialogue Design
12360,FlatOut: Ultimate Carnage,['Racing'],19.99,2008-08-19,Bugbear Entertainment
15710,Oddworld: Abe's Exoddus®,['Adventure'],2.99,1998-11-17,Oddworld Inhabitants
15700,Oddworld: Abe's Oddysee®,['Adventure'],2.99,1997-12-12,Oddworld Inhabitants
8660,GTR Evolution Expansion Pack for RACE 07,['Racing'],7.99,2008-09-01,SimBin
7770,X-COM: Enforcer,['Strategy'],4.99,2001-04-19,"MicroProse Software, Inc"
7660,X-COM: Apocalypse,['Strategy'],4.99,1997-07-15,"MicroProse Software, Inc"
7760,X-COM: UFO Defense,['Strategy'],4.99,1993-12-31,"MicroProse Software, Inc"
20510,S.T.A.L.K.E.R.: Clear Sky,"['Action', 'RPG']",9.99,2008-09-15,GSC Game World
17330,Crysis Warhead®,['Action'],19.99,2008-09-17,Crytek
17300,Crysis,['Action'],19.99,2007-11-13,Crytek
7730,X-COM: Interceptor,['Strategy'],4.99,1998-06-15,"MicroProse Software, Inc"
20900,The Witcher: Enhanced Edition Director's Cut,"['Action', 'RPG']",9.99,2008-09-16,CD PROJEKT RED
1530,Multiwinia,['Indie'],9.99,2008-09-19,Introversion Software
8690,STCC - The Game 1 - Expansion Pack for RACE 07,['Racing'],2.99,2008-10-22,SimBin
17120,Children of the Nile: Alexandria,"['Strategy', 'Simulation']",2.49,2008-08-28,"Tilted Mill Entertainment, Inc."
16810,Sid Meier's Civilization IV: Colonization,['Strategy'],19.99,2008-09-23,Firaxis Games
19830,Tom Clancy's Rainbow Six® 3 Gold,['Action'],9.99,2003-03-18,"Red Storm Entertainment,Ubisoft Montreal"
21000,LEGO Batman,"['Action', 'Adventure']",19.99,2008-09-29,Traveller's Tales
4460,City Life 2008,"['Simulation', 'Strategy']",9.99,2008-07-18,Monte Cristo
17140,Hinterland,"['RPG', 'Strategy']",9.99,2008-09-30,"Tilted Mill Entertainment, Inc."
15390,Brothers in Arms: Hell's Highway™,['Action'],9.99,2008-10-08,Gearbox Software
21300,Gravitron 2,"['Indie', 'Casual']",4.99,2008-08-31,Dark Castle Software
3050,Xpand Rally Xtreme,['Racing'],4.99,2006-12-01,Techland
15380,Heroes of Might & Magic V: Hammers of Fate,['Strategy'],9.99,2006-11-14,Nival
19800,Brothers in Arms: Earned in Blood™,['Action'],9.99,2005-10-04,Gearbox Software
15370,Heroes of Might & Magic V: Tribes of the East,['Strategy'],9.99,2007-10-16,Nival
19930,The Settlers®: Rise Of An Empire Gold Edition,['Strategy'],19.99,2008-04-18,Blue Byte
15350,Brain Spa,['Casual'],9.99,2007-09-25,Ubisoft
19810,The Sum of All Fears,['Action'],9.99,2002-05-31,Red Storm Entertainment
3540,Peggle™ Nights,['Casual'],4.99,2008-10-15,"PopCap Games, Inc."
22000,World of Goo,['Indie'],9.99,2008-10-13,2D BOY
2820,X3: Terran Conflict,"['Action', 'Simulation', 'Strategy']",15.99,2008-10-16,Egosoft
1230,Mare Nostrum,['Action'],Free,2008-10-17,Sandstorm Productions
18300,Spectraball,"['Casual', 'Indie']",4.99,2008-10-20,Shorebound Studios
20200,Galactic Bowling,"['Indie', 'Casual', 'Sports']",19.99,2008-10-21,Perpetual FX Creative
12200,Bully: Scholarship Edition,"['Action', 'Adventure']",14.99,2008-10-21,Rockstar New England
19900,Far Cry® 2: Fortune's Edition,['Action'],9.99,2008-10-22,Ubisoft Montreal
11240,Space Trader: Merchant Marine,"['Action', 'Indie', 'Strategy']",4.99,2008-10-23,Meridian4
256522,PRR Wagon Pack 01,['Simulation'],4.99,2009-01-01,RailSimulator.com
275144,"Class 421 London South East ""Jaffa Cake""",['Simulation'],4.99,2009-01-01,RailSimulator.com
256521,ATSF Wagon Pack 01,['Simulation'],4.99,2009-01-01,RailSimulator.com
222569,GP20 Union Pacific Add-on Livery,['Simulation'],4.99,2009-01-01,Reppo
256535,UK Van Wagon Pack,['Simulation'],4.99,2009-01-01,RailSimulator.com
256611,CSX SD70MAC Add-on Livery,['Simulation'],4.99,2009-01-01,Dovetail Games
256576,CSX ES44AC Add-on Livery,['Simulation'],4.99,2009-01-01,Dovetail Games
9480,Saints Row 2,['Action'],9.99,2009-01-28,Volition
17470,Dead Space,['Action'],19.99,2008-10-20,EA Redwood Shores
12770,Rise of the Argonauts,['RPG'],9.99,2008-12-16,Liquid Entertainment
17410,Mirror's Edge™,"['Action', 'Adventure']",19.99,2009-01-13,DICE
18500,Defense Grid: The Awakening,"['Indie', 'Strategy']",9.99,2008-12-08,Hidden Path Entertainment
16450,F.E.A.R. 2: Project Origin,['Action'],14.99,2009-02-12,Monolith
15400,Harvest: Massive Encounter,"['Strategy', 'Indie']",7.99,2008-03-05,Oxeye Game Studio
18600,Mayhem Intergalactic,"['Indie', 'Strategy']",9.99,2007-07-04,Inventive Dingo
11340,Larva Mortus,"['Action', 'Indie']",4.99,2009-03-19,Meridian4
25830,Knights of Honor,['Strategy'],9.99,2005-05-10,Black Sea Studios Ltd
23460,Ceville,"['Action', 'Adventure', 'Strategy']",5.99,2009-02-27,Realmforge Studios
10600,Empire: Total War™ - Special Forces Units & Bonus Content,['Strategy'],2.99,2009-03-04,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
21010,Watchmen: The End is Nigh,['Action'],4.99,2009-03-04,Deadline Games
22180,Penumbra Overture,"['Action', 'Adventure', 'Indie']",9.99,2007-03-30,Frictional Games
13210,Unreal Tournament 3 Black,['Action'],19.99,2007-11-19,"Epic Games, Inc."
12640,Drakensang,['RPG'],9.99,2009-02-27,Radon Labs
21600,Age of Booty™,"['Casual', 'Strategy']",0,2009-03-09,Certain Affinity™
27020,The Graveyard,"['Indie', 'Simulation']",4.99,2008-03-21,Tale of Tales
24740,Burnout Paradise: The Ultimate Box,['Racing'],19.99,2009-02-03,Criterion Games
90047,Zombie Master,['Action'],0,2009-03-11,Zombie Master Team
26000,The Maw,"['Action', 'Indie']",9.99,2009-03-09,Twisted Pixel Games
26006,The Maw: River Redirect,"['Action', 'Indie']",1.25,2009-03-16,Twisted Pixel Games
26005,The Maw: Brute Force,"['Action', 'Indie']",1.25,2009-03-16,Twisted Pixel Games
11330,Obulis,"['Casual', 'Indie']",4.99,2009-03-19,IonFX
27800,Space Giraffe,['Indie'],9.99,2009-03-19,Llamasoft LTD
9850,Codename: Panzers - Cold War,"['Simulation', 'Strategy']",14.99,2009-03-10,"InnoGlow,Stormregion,THQ Nordic"
3600,Escape Rosecliff Island,['Casual'],4.99,2009-04-15,SpinTop Games
29580,Guild Wars Nightfall,"['RPG', 'Massively Multiplayer']",19.99,2006-10-27,ArenaNet®
29540,Guild Wars,"['RPG', 'Massively Multiplayer']",19.99,2005-04-28,ArenaNet®
29560,Guild Wars Factions,"['RPG', 'Massively Multiplayer']",19.99,2006-04-28,ArenaNet®
29570,Guild Wars Trilogy,"['Massively Multiplayer', 'RPG']",29.99,2008-09-25,ArenaNet®
23700,Puzzle Kingdoms,['Casual'],14.99,2009-04-16,Infinite Interactive
16060,Samantha Swift and the Golden Touch,['Casual'],9.99,2009-04-29,MumboJumbo
1930,Two Worlds Epic Edition,['RPG'],9.99,2009-04-30,Reality Pump Studios
18470,Helldorado,['Strategy'],9.99,2009-04-30,Spellbound
7510,X-Blades,"['Action', 'Adventure', 'RPG']",9.99,2009-02-10,Gaijin Entertainment
22200,Zeno Clash,"['Action', 'Indie']",9.99,2009-04-21,ACE Team
26007,The Maw: Speeder Lane,['Indie'],1.25,2009-04-29,Twisted Pixel Games
25900,King's Bounty: The Legend,"['RPG', 'Strategy']",6.99,2008-09-23,1C Company
16200,Virtual Families,"['Casual', 'Simulation']",9.99,2009-05-06,Last Day of Work
7840,Death Track®: Resurrection,['Racing'],2.99,2009-05-06,Sky Fallen
8890,Freedom Force vs. the Third Reich,"['RPG', 'Strategy']",4.99,2005-03-08,Irrational Games
8880,Freedom Force,"['RPG', 'Strategy']",4.99,2002-03-26,Irrational Games
34500,Light of Altair,"['Indie', 'Simulation', 'Strategy']",14.99,2009-06-04,SaintXi
1280,Darkest Hour: Europe '44-'45,"['Action', 'Simulation']",Free,2009-06-09,Darklight Games
10150,Prototype™,"['Action', 'Adventure']",19.99,2009-06-10,Radical Entertainment
29160,Blueberry Garden,"['Adventure', 'Indie']",4.99,2009-06-01,Erik Svedäng
12470,Port Royale 2,['Strategy'],4.99,2004-04-30,Ascaron Entertainment ltd.
22340,Call of Cthulhu®: Dark Corners of the Earth,"['Adventure', 'Action']",4.99,2006-04-26,Headfirst Productions
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,['RPG'],14.99,2007-09-11,Bethesda Game Studios
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,['RPG'],14.99,2002-04-29,Bethesda Game Studios
900883,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"['RPG', 'Adventure', 'Action']",19.99,2009-06-16,Bethesda Game Studios®
12440,Ankh 2: Heart of Osiris,['Adventure'],4.99,2007-05-18,Deck 13
32710,Armored Fist 3,['Simulation'],9.99,1999-09-01,NovaLogic
32740,MiG-29 Fulcrum,['Simulation'],9.99,1998-09-07,NovaLogic
12460,BC Kings,['Strategy'],4.99,2008-09-15,Mascot Entertainment
21980,Call of Juarez®: Bound in Blood,['Action'],9.99,2009-06-30,Techland
31860,Nancy Drew®: Legend of the Crystal Skull,['Adventure'],6.99,2007-10-01,HeR Interactive
31900,Nancy Drew®: The Creature of Kapu Cave,['Adventure'],6.99,2006-10-01,HeR Interactive
31920,Nancy Drew®: The Phantom of Venice,['Adventure'],6.99,2008-07-01,HeR Interactive
31930,Nancy Drew®: The White Wolf of Icicle Creek,['Adventure'],6.99,2007-07-01,HeR Interactive
35800,BRAINPIPE: A Plunge to Unhumanity,"['Casual', 'Indie']",Free to Play,2008-12-24,Digital Eel
12690,Hunting Unlimited 2010,"['Simulation', 'Sports']",9.99,2009-07-07,SCS Software 
31170,Tales of Monkey Island Complete Pack,['Adventure'],19.99,2009-07-07,Telltale Games
21660,Street Fighter® IV,['Action'],19.99,2009-07-07,Capcom
6080,Thrillville®: Off the Rails™,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",9.99,2007-10-09,Frontier
6010,Indiana Jones® and the Fate of Atlantis™,['Adventure'],5.99,1992-06-01,LucasArts
6090,Armed and Dangerous®,['Action'],5.99,2003-12-02,Planet Moon Studios
6060,"Star Wars: Battlefront 2 (Classic, 2005)",['Action'],9.99,2005-11-01,Pandemic Studios
32310,Indiana Jones® and the Last Crusade™,['Adventure'],5.99,1989-07-01,LucasArts
32330,LEGO® Indiana Jones™: The Original Adventures,"['Action', 'Adventure']",19.99,2008-06-03,Traveller's Tales
32360,The Secret of Monkey Island: Special Edition,['Adventure'],9.99,2009-07-15,LucasArts
35300,Warfare,['Strategy'],12.99,2008-11-20,GFI Russia
35310,Clutch,"['Action', 'Racing']",9.99,2009-06-02,Targem Games
31980,Nancy Drew®: Ransom of the Seven Ships,['Adventure'],6.99,2009-07-21,HeR Interactive
31990,Nancy Drew®: Ransom of the Seven Ships Demo,['Adventure'],0,2009-07-21,Her Interactive
10140,3D Ultra™ Minigolf Adventures,['Sports'],9.99,2006-12-20,Wanako Games
10100,King's Quest™ Collection,['Adventure'],19.99,2006-09-01,Sierra
10130,TimeShift™,['Action'],19.99,2007-10-30,Saber Interactive
10110,Space Quest™ Collection,['Adventure'],19.99,2006-09-01,Sierra
1256,Killing Floor Outbreak Character Pack,['Action'],7.99,2009-07-24,Tripwire Interactive
10120,Aces of the Galaxy™,"['Action', 'Casual']",9.99,2008-06-04,Artech Studios
33520,Tropico Reloaded,"['Simulation', 'Strategy']",6.99,2009-07-24,"PopTop Software,BreakAway Games,Frog City Software"
3610,Mystery P.I. - Lost in Los Angeles,['Casual'],4.99,2009-07-27,SpinTop Games
21680,Bionic Commando: Rearmed,['Action'],9.99,2008-08-14,Capcom
21670,Bionic Commando,"['Action', 'Adventure']",9.99,2009-07-28,Capcom
21030,Watchmen: The End is Nigh Part 2,['Action'],4.99,2009-07-29,Deadline Games
36000,Foreign Legion: Buckets of Blood,"['Action', 'Indie']",4.99,2009-08-04,Sakari Indie
32370,STAR WARS™ - Knights of the Old Republic™,"['Adventure', 'RPG']",9.99,2003-11-19,"BioWare,Aspyr (Mac)"
29180,Osmos,"['Indie', 'Casual']",9.99,2009-08-18,Hemisphere Games
38410,Fallout 2: A Post Nuclear Role Playing Game,['RPG'],9.99,1998-12-01,Black Isle Studios
38420,Fallout Tactics: Brotherhood of Steel,['Strategy'],9.99,2001-03-01,14° East
